bmrk_eng_nm,bmrk_nm,curr_cd,exchdg_yn,fd_estb_ctry_cd,fd_ivst_rgn_desc,fd_mm18_ern_r,fd_mm1_ern_r,fd_mm3_ern_r,fd_mm6_ern_r,fd_nast_suma,fd_set_pcd,fd_wk1_ern_r,fd_yr1_ern_r,fd_yr2_ern_r,fd_yr3_ern_r,fd_yr5_ern_r,frc_bpr_itm_yn,fss_itm_no,hdge_fd_yn,int_dvd_desc,itm_abrv_nm,itm_eabrv_nm,itm_eng_nm,itm_nm,itm_no,kofia_fd_ccd,ksd_itm_no,mtco_itm_no,ofsfd_yn,or_attr_desc,or_co_xtn_itt_cd,ovrs_fd_desc,pers_corp_desc,pfiv_sale_cntl_tcd,prvo_fd_desc,prvo_pbff_desc,rptt_ksd_itm_no,sale_yn,std_itm_no,thco_sale_yn,trusc_xtn_itt_cd,zrin_fd_ivst_risk_gcd,zrin_fd_ivst_risk_grd_nm,risk_grade,risk_available,as_of_date,source_table
KOSPI 200,KOSPI200,KRW,,000,국내,,3.78,57.98,122.27,302513718166.0000,10,8.72,229.68,,,,0,0010179C1233,0,배당,대신KOSPI200인덱스증권자[주식]A,,대신 KOSPI200 인덱스 증권 자투자신탁[주식]Class A,대신 KOSPI200 인덱스 증권 자투자신탁[주식]Class A,KR5124471002,1211321201501ZZ11122,KRZ500019341,0042151,0,주식형,00040004,국내,해당없음,00,해당없음,공모,030330042151,판매중,KR5203764778,Y,00020004,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
MSCI ACWI CR 25% + KAP Bond Index 01Y 75%,MSCI ACWI CR 25% + 종합채권01Y 75%,KRW,N,000,글로벌,,,,,9855028901.0000,10,,,,,,0,0010189C1846,0,배당,한화멀티에셋크루즈5.0자(채권혼합재간접)A,,한화멀티에셋크루즈5.0증권자투자신탁(채권혼합-재간접형)종류A,한화멀티에셋크루즈5.0증권자투자신탁(채권혼합-재간접형)종류A,KR5129460010,161232123010221ZZ26D,KRZ501937251,0140820,0,재간접,00040027,해외,해당없음,00,해당없음,공모,030220140820,판매완료,KR5213AE7418,Y,00020027,,,,False,2026-07-11,PRFD01N001
MSCI ACWI CR 50% + KAP Bond Index 01Y 50%,MSCI ACWI CR 50% + 종합채권01Y 50%,KRW,Y,000,글로벌,27.93,0.71,10.91,11.77,257391436108.0000,10,1.66,25.09,35.41,60.47,,0,0011317C2422,0,배당,NH하나로적격TDF2045[주혼재]CP2e퇴직,,NH-Amundi 하나로 적격  TDF 2045 증권투자신탁[주식혼합-재간접형] Class C-P2e(퇴직연금),NH-Amundi 하나로 적격  TDF 2045 증권투자신탁[주식혼합-재간접형] Class C-P2e(퇴직연금),KR5144490055,1613161200102ZZZZZZC,KRZ50234191A,00BPM05,0,재간접,00040040,국내외혼합,해당없음,00,해당없음,공모,0325700BPM05,판매중,K55232CI4208,Y,00020054,3,다소 높은 위험,3.0,True,2026-07-11,PRFD01N001
MSCI ACWI  90% + Call 10%,MSCI ACWI  90% + Call 10%,KRW,Y,000,글로벌,22.26,-3.21,17.33,16.02,52960975010.0000,10,-0.44,32.07,22.81,38.55,30.58,0,0010183C2635,0,배당,교보악사로보테크자1호(H)(주식)CR,,KYOBO AXA ROBOTECH SECURITIES FEEDER INVESTMENT TRUST 1(H) [EQUITY],교보악사로보테크증권자투자신탁1호(H)[주식]ClassC-R,KR5120450080,12123A12060021101ZZB,KRZ502171869,0324110,0,주식형,00040001,해외,해당없음,00,해당없음,공모,030400324110,판매중,K55207BT8083,Y,00020004,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
MSCI AC ASIA PACIFIC ex JAPAN,MSCI AC ASIA PACIFIC ex JAPAN,KRW,Y,000,아시아,7.06,-5.71,-2.24,-2.37,188819770644.0000,10,-2.45,5.87,18.38,16.55,-3.19,0,0011458C0185,0,배당,피델리티아시아증권자투자신탁(주식)C5,,FIDELITY KOREA - ASIA BABY INVESTMENT TRUST (EQUITY) CLASS C5,피델리티아시아증권자투자신탁(주식)종류C5,KR5148651021,1212341200104110126C,KRZ50135547A,0043611,0,주식형,00080029,해외,해당없음,00,해당없음,공모,033180043611,판매중,KR5235996778,Y,00020054,3,다소 높은 위험,3.0,True,2026-07-11,PRFD01N001
Bloomberg U.S. AGGREGATE 90%,Bloomberg U.S. AGGREGATE 90%,KRW,Y,000,남미/북미,1.68,0.20,-0.46,-0.51,15913729745.0000,10,0.51,1.13,2.79,2.98,-8.53,0,0010205C5620,0,배당,미래에셋달러우량중장기채권자H(채권)CP2,,미래에셋달러우량중장기채권증권자투자신탁(H)(채권) 종류C-P2,미래에셋달러우량중장기채권증권자투자신탁(H)(채권) 종류C-P2,KR5153420279,11123A1206010312526D,KRZ50232086C,0537040,0,채권형,00080008,해외,해당없음,00,해당없음,공모,031910537040,판매중,K55301CM1303,Y,00020054,5,낮은 위험,5.0,True,2026-07-11,PRFD01N001
MSCI ACWI CR 50% + KAP Bond Index 01Y 50%,MSCI ACWI CR 50% + 종합채권01Y 50%,KRW,N,000,글로벌,,,,,2181489159.0000,10,,,,,,0,0010205C2645,0,배당,미래에셋GEMP인컴배분자1(UH)(주혼재)CI,,미래에셋글로벌EMP인컴배분증권자투자신탁1호(UH)(주식혼합-재간접형)종류C-I,미래에셋글로벌EMP인컴배분증권자투자신탁1호(UH)(주식혼합-재간접형)종류C-I,KR5153490118,16123912001022111ZZ4,KRZ501960158,0536910,0,재간접,00080008,해외,해당없음,01,해당없음,공모,031910536910,판매중,K55301AZ7273,Y,00020054,4,보통 위험,4.0,True,2026-07-11,PRFD01N001
MSCI EUROPE,MSCI EUROPE,KRW,Y,000,글로벌,,,,,,10,,,,,,0,000000000000,0,배당,알리안츠GI유럽C4,,AllianzGI EUROPE GROWTH BABY FUND(EQUITY)C4,알리안츠GI유럽성장증권자투자신탁(주식)C4,KR511502040M,00000000000000000000,KRZ500337458,94040,0,주식형,00040023,해외,해당없음,00,해당없음,공모,032110090939,판매완료,KR5228989806,Y,00020054,,,,False,2026-07-11,PRFD01N001
ZEROIN AI Expected Return Index,제로인 대안투자기대수익지수,KRW,Y,000,남미/북미,,,,,3565699708.0000,10,,,,,,0,0010193C0587,0,배당,프랭클린미국금리특별자산자(대출채권)C,,FRANKLIN US FLOATING RATE PLUS FEEDER FUND CLASS C,프랭클린미국금리연동플러스특별자산자투자신탁(대출채권)Class C,KR5134400011,181234120011069ZZ26D,KRZ502106462,0007510,0,특별자산,00040022,해외,해당없음,00,해당없음,공모,030440007510,판매완료,K55217BJ6772,Y,00020054,,,,False,2026-07-11,PRFD01N001
MSCI WI (USD) ×90% + Call ×10%,MSCI WI (USD) ×90% + Call ×10%,KRW,Y,000,글로벌,55.81,1.61,33.04,33.77,43744413817.0000,10,3.03,59.41,68.40,102.83,65.48,0,0010198C3367,0,배당,KB글로벌테크놀로지EMP증권자(주-재)C-Pe,,KB 글로벌 테크놀로지 EMP 증권 자투자신탁(주식-재간접형) C-PE,KB 글로벌 테크놀로지 EMP 증권 자투자신탁(주식-재간접형) C-Pe,KR5127490211,16123A1203602ZZZZ26B,KRZ50223568F,0002Z51,0,재간접,00040035,해외,개인,00,해당없음,공모,030230002Z51,판매중,K55223C30034,Y,00020054,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
MSCI ACWI CR 50% + KAP Bond Index 01Y 50%,MSCI ACWI CR 50% + 종합채권01Y 50%,KRW,N,000,글로벌,23.86,0.68,10.72,14.42,58481376416.0000,10,1.05,25.02,28.49,50.35,47.57,0,0011972C7449,0,배당,KCGI프리덤적격TDF2030[채혼재]C-Pe2,,KCGI프리덤적격TDF2030증권자투자신탁[채권혼합-재간접형]종류C-Pe2,KCGI프리덤적격TDF2030증권자투자신탁[채권혼합-재간접형]종류C-Pe2,KR5147490043,16133A1306002ZZZZZZ4,KRZ50243625B,0002349,0,재간접,00040087,국내외혼합,해당없음,00,해당없음,공모,034680002349,판매중,K55365DA5417,Y,00020020,4,보통 위험,4.0,True,2026-07-11,PRFD01N001
KOSDAQ 70% + KOSPI 30%,KOSDAQ 70% + KOSPI 30%,KRW,,000,국내,150.15,-3.12,18.44,58.36,35105218419.0000,10,14.93,111.72,102.21,134.82,113.57,0,0010205C3678,0,배당,미래에셋코스닥혁신성장자(주식)CPe,,미래에셋코스닥혁신성장증권자투자신탁(주식)C-Pe,미래에셋코스닥혁신성장증권자투자신탁(주식)C-Pe,KR510902986M,12113612036011111262,KRZ50206799C,46651B,0,주식형,00080008,국내,개인,00,해당없음,공모,031910466510,판매중,K55301BE5891,Y,00020004,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
MSCI CHINA,MSCI CHINA,KRW,Y,000,아시아,3.31,-10.19,-6.76,-12.77,62415226868.0000,10,-2.10,-7.65,4.26,-8.36,-48.30,0,0011458C0272,0,배당,피델리티차이나컨슈머자(주식재간접)PRS,,FIDELITY KOREA CHINA CONSUMER BABY INVESTMENT TRUST (EQUITY-FUND OF FUNDS) CLASS PRS,피델리티차이나컨슈머증권자투자신탁(주식-재간접형)종류 PRS,KR5148490016,16123Y1203617150120B,KRZ50173547C,0048111,0,재간접,00080029,해외,개인,00,해당없음,공모,033180048111,판매중,KR5235AK9766,Y,00020054,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
ZEROIN AI Expected Return Index,제로인 대안투자기대수익지수,KRW,Y,000,남미/북미,19.36,-2.35,-0.95,17.49,9551172305.0000,10,-0.92,18.06,50.01,84.17,96.67,0,0010189M0025,0,배당,한화에너지MLP특별자회사(재간접)Ce,,HANWHA ENERGY INFRA MLP SPECIAL ASSET FEEDER FUND1(INFRA-FOF),한화에너지인프라MLP특별자산자투자회사(인프라-재간접형) 종류Ce,KR5529400016,281234123011062ZZZZ2,KRZ701864794,0140780,0,특별자산,00040027,해외,해당없음,00,해당없음,공모,030220140780,판매중,KRM213AN5495,Y,00020004,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
MSCI EM CR 40% + 종합채권 60%,MSCI EM CR 40% + 종합채권 60%,KRW,Y,000,글로벌,11.91,-1.55,1.63,2.94,4194037864.0000,10,0.24,9.54,17.75,26.75,16.43,0,0010205C4702,0,배당,미래에셋퇴직이머징업종40자1(채-혼)CP2e,,미래에셋퇴직플랜이머징업종대표40증권자투자신탁1호(채권혼합) 종류C-P2E,미래에셋퇴직플랜이머징업종대표40증권자투자신탁1호(채권혼합) 종류C-P2e,KR5153430220,14133A120602321ZZ23D,KRZ501433862,0513651,0,채권혼합,00080008,국내외혼합,해당없음,00,해당없음,공모,031910513651,판매중,K55301BW1344,Y,00020027,4,보통 위험,4.0,True,2026-07-11,PRFD01N001
MSCI CHINA A,MSCI CHINA A,KRW,N,000,글로벌,,,,,3278724198.0000,10,,,,,,0,000000000000,0,배당,미래에셋차이나본토자2호(UH)(주식)C2,,미래에셋차이나본토증권자투자신탁2호(UH)(주식)C2,미래에셋차이나본토증권자투자신탁2호(UH)(주식)C2,KR510902489M,00000000000000000000,KRZ501661654,533604,0,주식형,00080008,해외,해당없음,00,해당없음,공모,031910533600,판매중,KR5301969485,Y,00020004,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
KOSPI200 25% + KAP Bond Index 01Y 75%,KOSPI200 25% + 종합채권01Y 75%,KRW,,000,국내,,,,,0.0000,10,,,,,,0,0010205C5561,0,배당,미래에셋단기채알파증권자(채권혼합)CI,,미래에셋단기채알파증권자투자신탁(채권혼합) 종류C-I,미래에셋단기채알파증권자투자신탁(채권혼합) 종류C-I,KR5153430278,14113912001012111ZZ4,KRZ502286037,0536250,0,채권혼합,00080008,국내,해당없음,00,해당없음,공모,031910536250,판매중,K55301CH3207,Y,00020081,5,낮은 위험,5.0,True,2026-07-11,PRFD01N001
MSCI CHINA 90% + Call 10%,MSCI CHINA 90% + Call 10%,KRW,Y,000,아시아,49.06,-2.03,10.87,2.26,203933002230.0000,10,-1.42,32.10,70.66,62.93,1.78,0,0010210C6102,0,배당,다올중국1등주증권자투신(주식)Cpe(연금),,다올중국1등주증권자투자신탁[주식] 종류C-Pe,다올중국1등주증권자투자신탁[주식] 종류C-Pe,KR5152450036,12123612036171101ZZB,KRZ50186316F,0012244,0,주식형,00080013,해외,개인,00,해당없음,공모,032400012244,판매중,K55306BT9453,Y,00020081,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
KOSPI200 25% + KAP Bond Index 01Y 75%,KOSPI200 25% + 종합채권01Y 75%,KRW,,000,국내,,-5.25,5.68,12.87,8411834937.0000,10,6.83,,,,,0,0010175C6975,0,배당,우리외국인따라하기40증투신[채-재]Ae,,Woori Following Foreigners 40 Securities Sub-Investment Trust [Bond Mixed-Fund of Funds] Class A-e,우리외국인따라하기40증권자투자신탁[채권혼합-재간접형] Class A-e,KR5118490030,1611361200101ZZZZZZ4,KRZ502639752,000FF19,0,재간접,00040007,국내,해당없음,00,해당없음,공모,03101000FF19,판매중,K55107EN9143,Y,00020088,4,보통 위험,4.0,True,2026-07-11,PRFD01N001
Bloomberg U.S. High Yield 2% Issuer cap 94% + Call 6%,Bloomberg U.S. High Yield 2% Issuer cap 94% + Call 6%,KRW,Y,000,남미/북미,4.81,0.20,0.71,0.72,1811676633.0000,10,0.14,3.72,8.34,16.35,8.04,0,0010193C0314,0,배당,우리프랭클린미국하이일드증권자(채-재)C,,Woori Franklin U.S. High Yield Bond Feeder FOF Class_C,우리프랭클린미국하이일드증권자투자신탁(채권-재간접형)ClassC,KR5134490010,161234123271034ZZZZC,KRZ500571592,0510020,0,재간접,00040007,해외,해당없음,00,해당없음,공모,03101000FB35,판매중,KR5217956345,Y,00020004,5,낮은 위험,5.0,True,2026-07-11,PRFD01N001
MSCI EUROPE,MSCI EUROPE,KRW,Y,000,유럽,,,,,2582290362.0000,10,,,,,,0,0010186C1032,0,배당,신한유럽배당증권투자1(H)(주식)C4,,SH EUROPE DIVIDEND FEEDER SECURITY NO.1(H)[EQUITY](CLASS_C4),신한유럽배당증권자투자신탁제1호(H)[주식]종류C4,KR5117651023,1212341240108141122B,KRZ500162534,0008606,0,주식형,00040067,해외,해당없음,00,해당없음,공모,030480108606,판매중,KR5210997916,Y,00020054,3,다소 높은 위험,3.0,True,2026-07-11,PRFD01N001
KOSPI200 25% + KIS Bond Index 01Y 75%,KOSPI200 25% + KIS채권종합01Y 75%,KRW,,000,국내,,,,,,10,,,,,,0,000000000000,0,배당,HDC고수익분리과세1,,HDC절세미인고수익고위험분리과세증권투자신탁 1[채권혼합],HDC절세미인고수익고위험분리과세증권투자신탁 1[채권혼합],KR5132430030,00000000000000000000,KRZ500586040,0053001,0,채권혼합,00040016,국내,해당없음,00,해당없음,공모,032490053001,판매완료,KR5226162273,Y,00020088,,,,False,2026-07-11,PRFD01N001
MSCI EM EMEA,MSCI EM EMEA,KRW,Y,000,이머징/브릭스,0.00,0.00,0.00,0.00,2747335520.0000,10,0.00,0.00,0.00,34.16,-23.37,0,0011458C0486,0,배당,피델리티EMEA증권자투자(주식-재간접)PRS,,Fidelity Korea-EMEA Baby Investment Trust (Equity-Fund of Funds) Class PRS,피델리티EMEA증권자투자신탁(주식-재간접형)종류PRS,KR5148450024,16123Y120362811ZZ23B,KRZ50142286F,0044111,0,재간접,00080029,해외,개인,00,해당없음,공모,033180044111,판매중,K55235B96072,Y,00020004,3,다소 높은 위험,3.0,True,2026-07-11,PRFD01N001
KOSPI 200,KOSPI200,KRW,,000,국내,391.01,6.47,69.44,147.24,3658778475252.0000,10,11.02,304.86,216.34,252.03,248.62,0,0010205C5801,0,배당,미래에셋코어테크증권자(주식)C-P2,,미래에셋코어테크증권자투자신탁(주식) 종류C-P2,미래에셋코어테크증권자투자신탁(주식) 종류C-P2,KR5153450784,12111A12060011511ZZ2,KRZ50237702C,0536840,0,주식형,00080008,국내,해당없음,00,해당없음,공모,031910536840,판매중,K55301CW6490,Y,00020088,1,매우 높은 위험,1.0,True,2026-07-11,PRFD01N001
KOSPI 200,KOSPI200,KRW,,000,국내,,,,,2851620296.0000,10,,,,,,0,0011988C0008,0,배당,iM에셋ALLNEW장수기업증권자1호(주식)C1,,im에셋 ALL NEW 장수기업 증권자투자신탁1호(주식)C1,iM에셋 ALL NEW 장수기업 증권자투자신탁1호(주식)C1,KR5175450021,12113412001011111111,KRZ500524395,0A3101M,0,주식형,00080035,국내,해당없음,00,해당없음,공모,033750A3101M,판매중,KR5368885004,Y,00050004,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
MSCI ACWI,MSCI ACWI,KRW,Y,000,글로벌,21.55,-0.91,9.00,6.80,218595109128.0000,10,-0.26,22.06,28.31,58.60,28.81,0,000000000000,0,배당,미래에셋인사이트자1호(주식혼합)Ae,,미래에셋인사이트증권자투자신탁 1(주식혼합)종류A-e,미래에셋인사이트증권자투자신탁 1(주식혼합)종류A-e,KR5153651029,00000000000000000000,KRZ50141353C,0532400,0,주식혼합,00080008,해외,해당없음,00,해당없음,공모,031910532400,판매중,K55301BW0064,Y,00020004,3,다소 높은 위험,3.0,True,2026-07-11,PRFD01N001
MSCI ACWI(USD) 90% + CALL 10%,MSCI ACWI(USD) 90% + CALL 10%,KRW,Y,000,글로벌,84.51,6.19,44.26,47.68,100054050745.0000,10,1.67,75.30,113.90,158.45,,0,0010173C9271,0,배당,삼성글로벌메타버스증권자H[주식]CP(퇴직),,삼성글로벌메타버스증권자투자신탁H[주식]_Cp(퇴직연금),삼성글로벌메타버스증권자투자신탁H[주식]_Cp(퇴직연금),KR5114450525,12123A12060021111ZZB,KRZ50247247C,01MK800,0,주식형,00040010,해외,해당없음,00,해당없음,공모,0302001MK800,판매중,K55105DK2730,Y,00020027,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
KOSPI200 5% +  KAP Bond Index 01Y 95%,KOSPI200 5% + 종합채권 01Y 95%,KRW,,000,국내,24.31,0.05,6.87,10.41,13648849278.0000,10,0.40,16.17,24.16,35.34,53.48,0,0010214C1058,0,배당,마이다스거북이50자1호(주혼)C,,마이다스거북이50증권자투자신탁1호(주식혼합)C클래스,마이다스거북이50증권자투자신탁1호(주식혼합)C클래스,KR5157440011,13113412001012111265,KRZ501781193,0053468,0,주식혼합,00080005,국내,해당없음,00,해당없음,공모,031740053468,판매중,KR5303AC8229,Y,00020081,5,낮은 위험,5.0,True,2026-07-11,PRFD01N001
MSCI INDIA SMID CAP,MSCI INDIA SMID CAP,KRW,N,000,이머징/브릭스,-15.00,0.83,2.12,-1.74,41317230538.0000,10,-3.91,-0.60,,,,0,0010173C5857,0,배당,삼성인도중소형FOCUS증권자UH(주식)Ce,,삼성인도중소형 FOCUS 증권자투자신탁 UH[주식]_CE,삼성인도중소형 FOCUS 증권자투자신탁 UH[주식]_Ce,KR5114450617,12123612001181101202,KRZ502014847,02MGU00,0,주식형,00040010,해외,해당없음,00,해당없음,공모,0302002MGU00,판매중,K55105B33609,Y,00020004,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
MSCI ACWI CR 50% + KAP Bond Index 01Y 50%,MSCI ACWI CR 50% + 종합채권01Y 50%,KRW,Y,000,글로벌,,1.30,20.22,21.66,13573182859.0000,10,2.18,,,,,0,0010198C7009,0,배당,KB온국민적격TDF2060증투신(주혼재)(H)C-Pe,,KB 온국민 적격TDF 2060 증권 자투자신탁(주식혼합-재간접형)(H) C-Pe,KB 온국민 적격TDF 2060 증권 자투자신탁(주식혼합-재간접형)(H) C-Pe,KR5127490371,16133A120360211ZZZZB,KRZ50259784C,00032Z0,0,재간접,00040035,국내외혼합,개인,00,해당없음,공모,0302300032Z0,판매중,K55223EC5416,Y,00020020,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
MSCI ACWI CR 50% + KAP Bond Index 01Y 50%,MSCI ACWI CR 50% + 종합채권01Y 50%,KRW,Y,000,글로벌,,,,,0.0000,10,,,,,,0,0010660C7889,0,배당,한국투자적격TDF알아서2055H(주혼재)(Ce),,한국투자적격TDF알아서2055증권자투자신탁H(주식혼합-재간접형)(C-e),한국투자적격TDF알아서2055증권자투자신탁H(주식혼합-재간접형)(C-e),KR5113490126,161236120010211ZZZZB,KRZ50250458D,0007H33,0,재간접,00040024,해외,해당없음,00,해당없음,공모,032280007H33,판매중,K55101DR6282,Y,00020027,3,다소 높은 위험,3.0,True,2026-07-11,PRFD01N001
ZEROIN Southeastern Asia 6 countries stock index mixed,동남아6개국 합성지수(싱가폴지수 MSCI 교체),KRW,N,000,아시아,,,,,1620742788.0000,10,,,,,,0,0010198C1292,0,배당,KB아세안증권자투자신탁(주식)C2,,KB ASEAN EQUITY FEEDER FUNDCLASS 06,KB아세안증권자투자신탁(주식)C 2,KR5127651006,1212341200105110123C,KRZ500353606,2S16,0,주식형,00040035,해외,해당없음,00,해당없음,공모,030230002C12,판매완료,KR5223995469,Y,00020054,,,,False,2026-07-11,PRFD01N001
TOPIX CR,TOPIX CR,KRW,Y,000,아시아,,,,,1036743151.0000,10,,,,,,0,0011013C0050,0,배당,스팍스본재팬증권자투자신탁H(주식) C2,,스팍스본재팬증권자투자신탁H(주식) C2,스팍스본재팬증권자투자신탁H(주식) C2,KR5194450032,1212341200116110126B,KRZ501969674,0014002,0,주식형,00080026,해외,해당없음,00,해당없음,공모,032300014002,판매완료,KR5355AN0113,Y,00020081,,,,False,2026-07-11,PRFD01N001
MSCI ACWI CR 25% + KAP Bond Index 01Y 75%,MSCI ACWI CR 25% + 종합채권01Y 75%,KRW,Y,000,글로벌,20.60,0.58,7.50,10.78,563747977540.0000,10,1.05,19.39,24.33,34.21,27.79,0,000000000000,0,배당,미래에셋평생소득TIF혼합자산자투자C-Pe,,미래에셋평생소득TIF혼합자산자투자신탁 종류C-PE,미래에셋평생소득TIF혼합자산자투자신탁 종류C-Pe,KR5153400017,00000000000000000000,KRZ502124124,0537410,0,혼합자산,00080008,국내외혼합,개인,00,해당없음,공모,031910537410,판매중,K55301BM8002,Y,00020004,4,보통 위험,4.0,True,2026-07-11,PRFD01N001
MSCI China A(in KRW) 150%,MSCI China A(원화환산) 150%,KRW,N,000,아시아,,,,,0.0000,10,,,,,,0,0010205C1747,0,배당,미래에셋차이나A레버리지1.5(주-파재)C3,,미래에셋차이나A레버리지1.5증권투자신탁(주식-파생재간접형)종류C3,미래에셋차이나A레버리지1.5증권투자신탁(주식-파생재간접형)종류C3,KR5153490023,162214120011759ZZZZ1,KRZ501796575,0481190,0,06,00080008,해외,해당없음,00,해당없음,공모,031910481190,판매완료,KR5301AF0241,Y,00020020,,,,False,2026-07-11,PRFD01N001
MSCI EUROPE SMALL CAP,MSCI EUROPE SMALL CAP,KRW,N,000,유럽,27.46,1.12,3.84,3.32,241942489.0000,10,-1.12,11.18,24.30,45.87,29.73,0,0010173C5566,0,배당,삼성아문디유럽중소형자UH(주식재간접)Ce,,SAMSUNG AMUNDI EUROPE SMALL AND MID CAP SECURITIES FEEDER INV TRUST UH[EQUITY-FOFS]]_CE,삼성아문디유럽중소형증권자투자신탁UH[주식-재간접형]_Ce,KR5114490123,16123612018241113ZZ2,KRZ501977034,01MA400,0,재간접,00040010,해외,해당없음,00,해당없음,공모,0302001MA400,판매중,K55105B21984,Y,00020088,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
HO CHI MINH STOCK INDEX(KRW),베트남 호치민(KRW),KRW,N,000,아시아,25.08,-3.30,-0.92,3.63,88424720212.0000,10,-2.48,36.94,27.82,62.70,57.07,0,0010205C3568,0,배당,미래에셋베트남자1호(UH)(주식)C1,,미래에셋베트남증권자투자신탁1호(UH)(주식)종류C1,미래에셋베트남증권자투자신탁1호(UH)(주식)종류C1,KR5137450071,12123412001191101262,KRZ502053203,0480540,0,주식형,00080008,해외,해당없음,00,해당없음,공모,031910480540,판매중,K55301BC5141,Y,00020054,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
