cu_base_index,cu_charge_rt,cu_fund_mgmt_co,cu_lev_fector,cu_strtegy,cu_upt_dt,du_bpr,du_clpr,du_er_1d,du_er_1m,du_er_1y,du_er_3m,du_er_6m,du_er_ytd,du_hpr,du_last_aum,du_last_nav,du_lpr,du_nav_rnf_amt,du_nav_yday,du_upt_dt,du_val_1d,du_val_1m,du_val_5d,du_vol_1d,du_vol_avg_1m,du_vol_avg_5d,nru_mkt_diff_rt,nru_mkt_inav,pd_abrv_nm,pd_circ_net_tamt,pd_circ_stk_cnt,pd_curr_cd,pd_curr_nm,pd_dvid_cycl,pd_exg_mkt_cd,pd_exg_mkt_nm,pd_grp_no,pd_itm_no,pd_itm_no_ma,pd_lst_stk_cnt,pd_lste_dt,pd_lstg_dt,pd_mkt_id,pd_mkt_nm,pd_nav_pshr,pd_net_tamt,pd_nm,pd_pen_risk_nm,pd_pen_tr_yn,pd_risk_cd,pd_risk_nm,pd_sale_yn,pd_sect_cd,pd_sect_nm,pd_spac_yn,pd_stk_cnt,pd_tr_yn,ru_mkt_price,ru_mkt_volume,wu_core_yn,wu_inv_ast_type,wu_inv_rgn,wu_upt_dt,risk_grade,risk_available,instrument_type,expense_ratio_available,region_std,region_mapping_status,asset_class_std,asset_class_mapping_status,as_of_date,source_table,fee_krx_pct,base_index_krx,asset_class_krx,fee_conflict,expense_ratio_filled,expense_ratio_source,base_index_filled,base_index_source
,,메리츠증권 주식회사,-3.0,C,20260615.0,21775.0,21310.0,-2.14,-3.31,25.98,6.9,14.11,12.87,21310.0,0.0,21446.31,21310.0,-265.79,21712.1,2026-06-15 00:00:00,127860.0,2820671.75,3248923.0,6.0,130.5,147.4,,,메리츠 인버스 3X 국채10년 ETN,0.0,0.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETN,KRG610000603,Q610060,500000.0,99991231.0,20221221.0,STK,유가증권,21446.31,10856050000.0,메리츠증권 메리츠 인버스 3X 국채10년 상장지수증권 제60호,N,N,PD_RISK_GCD_11,매우높은위험(1등급),1,3.0,,N,500000.0,0.0,,,N,채권,국내,20260615.0,1.0,True,ETN,False,KR,mapped,BOND,mapped,2026-07-11,PREF01N001,,,,False,,,,
,,삼성증권(주),1.0,C,20260615.0,17460.0,17775.0,1.8,3.83,54.57,24.78,22.84,24.69,17785.0,0.0,17452.64,17635.0,32.05,17420.59,2026-06-15 00:00:00,7678570.0,45384139.0,46775398.0,433.0,2585.45,2703.0,,,삼성 나스닥 100 TR ETN,0.0,0.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETN,KRG530001202,Q530120,1000000.0,99991231.0,20240603.0,STK,유가증권,17452.64,17420590000.0,삼성증권 삼성 나스닥 100 TR 상장지수증권 제120호,N,N,PD_RISK_GCD_11,매우높은위험(1등급),1,3.0,,N,1000000.0,0.0,,,N,주식,미국,20260615.0,1.0,True,ETN,False,US,mapped,EQUITY,mapped,2026-07-11,PREF01N001,,,,False,,,,
,,메리츠증권 주식회사,2.0,C,20260615.0,44745.0,39695.0,-11.29,-33.75,47.59,-20.02,112.27,109.36,39930.0,0.0,39357.23,39100.0,-7410.83,46768.06,2026-06-15 00:00:00,64498330.0,133595194.25,69795908.0,1643.0,2463.05,1545.0,,,메리츠 레버리지 WTI원유 선물 ETN(H),0.0,0.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETN,KRG610000884,Q610088,1000000.0,99991231.0,20250507.0,STK,유가증권,39357.23,46768060000.0,메리츠증권 메리츠 레버리지 WTI원유 선물 상장지수증권(H) 제88호,N,N,PD_RISK_GCD_11,매우높은위험(1등급),1,3.0,,N,1000000.0,0.0,,,N,원자재,국내,20260615.0,1.0,True,ETN,False,KR,mapped,COMMODITY,mapped,2026-07-11,PREF01N001,,,,False,,,,
,,미래에셋,1.0,실물복제,20260615.0,11910.0,12190.0,2.35,-0.2,,4.23,16.59,19.74,12380.0,27552551000.0,11979.37,11965.0,-11979.37,11979.37,2026-06-15 00:00:00,478766097.0,554004388.4,260700611.8,39203.0,46666.15,22050.8,,,TIGER 코리아배당다우존스위클리커버드콜,27393000000.0,2300000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR70104P0000,A0104P0,2300000.0,99991231.0,20250923.0,STK,유가증권,11979.37,27552547413.0,미래에셋 TIGER 코리아배당다우존스위클리커버드콜증권상장지수투자신탁(주식-파생형),위험자산,Y,PD_RISK_GCD_12,높은위험(2등급),1,2.0,,N,2300000.0,0.0,,,N,주식,미국,20260615.0,2.0,True,ETF,False,US,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.25,KRX 다우존스 코리아 배당 30 타겟 7% 위클리 커버드콜 지수,주식,False,0.25,external_krx_20260806,KRX 다우존스 코리아 배당 30 타겟 7% 위클리 커버드콜 지수,external_krx_20260806
종합채권 3개월~1년,,미래에셋,,액티브,,0.0,0.0,,,-100.0,,,,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,TIGER 25-10 회사채(A+이상)액티브,,,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7453540007,A453540,24916000.0,20251015.0,20230323.0,STK,유가증권,,,미래에셋 TIGER 25-10 회사채(A+이상)액티브증권상장지수투자신탁(채권),N,N,PD_RISK_GCD_15,낮은위험(5등급),0,,,,,1.0,,,N,채권,국내,20260615.0,5.0,True,ETF,False,KR,mapped,BOND,mapped,2026-07-11,PREF01N001,,,,False,,,종합채권 3개월~1년,provided
,,키움,1.0,실물복제,20260615.0,17705.0,18495.0,4.46,17.43,84.77,49.76,34.02,41.02,18495.0,266554411000.0,17652.61,17950.0,-17652.61,17652.61,2026-06-15 00:00:00,2693839248.0,6198551846.15,3076783233.0,147219.0,352192.7,174257.4,,,KIWOOM 미국양자컴퓨팅,267345500000.0,15100000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7498270008,A498270,15100000.0,99991231.0,20241217.0,STK,유가증권,17652.61,265671796280.0,키움 KIWOOM 미국양자컴퓨팅증권상장지수투자신탁[주식],위험자산,Y,PD_RISK_GCD_12,높은위험(2등급),1,2.0,,N,15050000.0,0.0,,,N,주식,미국,20260615.0,2.0,True,ETF,False,US,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.49,Solactive U.S. Quantum Computing Index(PR),주식,False,0.49,external_krx_20260806,Solactive U.S. Quantum Computing Index(PR),external_krx_20260806
,,KB,1.0,실물복제,20260615.0,15410.0,15570.0,1.04,3.35,57.91,15.93,33.08,31.56,15700.0,353073803000.0,15418.07,15520.0,-15418.07,15418.07,2026-06-15 00:00:00,3941810915.0,7553116223.35,3912539002.4,252319.0,490411.25,256526.8,,,RISE 삼성그룹Top3채권혼합,352889000000.0,22900000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7448630004,A448630,22900000.0,99991231.0,20221129.0,STK,유가증권,15418.07,353073733225.0,KB RISE 삼성그룹Top3채권혼합블룸버그증권상장지수투자신탁(채권혼합),안전자산,Y,PD_RISK_GCD_14,보통위험(4등급),1,2.0,,N,22900000.0,0.0,,,N,혼합자산,국내,20260615.0,4.0,True,ETF,False,KR,mapped,MIXED,mapped,2026-07-11,PREF01N001,0.2,Bloomberg Blended Samsung Group Fixed Top 3 Equity and Korean Bond Index,혼합자산,False,0.2,external_krx_20260806,Bloomberg Blended Samsung Group Fixed Top 3 Equity and Korean Bond Index,external_krx_20260806
,,미래에셋증권 주식회사,2.0,C,20260615.0,22055.0,24180.0,9.64,,,,,,24705.0,0.0,23981.18,23790.0,1973.66,22007.52,2026-06-15 00:00:00,12499131439.0,,16189095330.0,515094.0,,777042.6,,,미래에셋 레버리지 삼성전자 단일종목 ETN,0.0,0.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETN,KRG520001006,Q520100,5000000.0,99991231.0,20260527.0,STK,유가증권,23981.18,110037600000.0,미래에셋증권 미래에셋 레버리지 삼성전자 단일종목 상장지수증권 제115호,N,N,PD_RISK_GCD_11,매우높은위험(1등급),1,9.0,,N,5000000.0,0.0,,,N,주식,국내,20260615.0,1.0,True,ETN,False,KR,mapped,EQUITY,mapped,2026-07-11,PREF01N001,,,,False,,,,
,,신한투자증권 주식회사,2.0,C,20260615.0,35845.0,36880.0,2.89,4.58,58.01,23.34,38.31,28.1,37380.0,0.0,36943.34,36840.0,2521.5,34421.84,2026-06-15 00:00:00,24360270.0,36515040.1,31722117.0,658.0,1036.1,902.4,,,신한 레버리지 구리 선물 ETN,0.0,0.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETN,KRG502400408,Q500040,1000000.0,99991231.0,20180920.0,STK,유가증권,36943.34,34421840000.0,신한투자증권 신한 레버리지 구리 선물 상장지수증권 제40호,N,N,PD_RISK_GCD_11,매우높은위험(1등급),1,3.0,,N,1000000.0,0.0,,,N,원자재,국내,20260615.0,1.0,True,ETN,False,KR,mapped,COMMODITY,mapped,2026-07-11,PREF01N001,,,,False,,,,
,,삼성,1.0,실물복제,20260615.0,29645.0,30285.0,2.16,4.16,53.81,24.48,22.44,23.87,30300.0,8617313520000.0,29689.28,30015.0,-29689.28,29689.28,2026-06-15 00:00:00,336338315371.0,227627656081.55,289656035626.0,11128883.0,7629415.0,9805403.0,,,KODEX 미국나스닥100,0.0,290250000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7379810005,A379810,291900000.0,99991231.0,20210409.0,STK,유가증권,29689.28,8557935739814.0,삼성 KODEX 미국나스닥100 증권상장지수투자신탁[주식],위험자산,Y,PD_RISK_GCD_12,높은위험(2등급),1,2.0,,N,290250000.0,0.0,,,Y,주식,미국,20260615.0,2.0,True,ETF,False,US,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.006,NASDAQ 100,주식,False,0.006,external_krx_20260806,NASDAQ 100,external_krx_20260806
,0.0,삼성,1.0,실물복제,20260615.0,23290.0,23200.0,-0.39,-2.64,6.11,-1.96,-4.15,-2.93,23600.0,37886887500.0,22961.75,23035.0,-22961.75,22961.75,2026-06-15 00:00:00,213418745.0,180745508.9,112159905.8,9144.0,7684.25,4829.0,,,KODEX 차이나H,0.0,1650000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7099140006,A099140,1650000.0,99991231.0,20071010.0,STK,유가증권,22961.75,37886890910.0,삼성 KODEX 차이나H증권상장지수투자신탁[주식],위험자산,Y,PD_RISK_GCD_12,높은위험(2등급),1,2.0,,N,1650000.0,0.0,,,N,주식,국내,20260615.0,2.0,True,ETF,True,KR,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.12,Hang Seng China H,주식,True,0.0,provided,Hang Seng China H,external_krx_20260806
,0.4,미래에셋TIGER200IT증권상장지수투자신탁(주식),1.0,실물복제,20260615.0,169920.0,182920.0,7.65,26.68,538.24,130.06,248.88,223.52,183300.0,2985966073800.0,171017.53,179490.0,-171017.53,171017.53,2026-06-15 00:00:00,198335677542.0,286430195276.05,203585148043.4,1091841.0,1719524.75,1196413.4,,,TIGER 200 IT,2966803200000.0,17460000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7139260004,A139260,17340000.0,99991231.0,20110406.0,STK,유가증권,171017.53,2948342249606.0,미래에셋TIGER200IT증권상장지수투자신탁(주식),위험자산,Y,PD_RISK_GCD_11,매우높은위험(1등급),1,2.0,,N,17240000.0,0.0,,,N,주식,국내,20260615.0,1.0,True,ETF,True,KR,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.4,코스피 200 정보기술,주식,False,0.4,provided,코스피 200 정보기술,external_krx_20260806
,,미래에셋,1.0,실물복제,20260615.0,14695.0,14920.0,1.53,2.26,16.15,10.52,9.22,9.26,14920.0,429704145000.0,14690.74,14795.0,-14690.74,14690.74,2026-06-15 00:00:00,5667630931.0,6541391386.15,5334133550.2,381248.0,444480.05,363881.2,,,TIGER 미국나스닥100채권혼합50,429828750000.0,29250000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7435420005,A435420,29350000.0,99991231.0,20220706.0,STK,유가증권,14690.74,429704139952.0,미래에셋 TIGER 미국나스닥100채권혼합50증권상장지수투자신탁(채권혼합),안전자산,Y,PD_RISK_GCD_14,보통위험(4등급),1,2.0,,N,29250000.0,0.0,,,Y,혼합자산,미국,20260615.0,4.0,True,ETF,False,US,mapped,MIXED,mapped,2026-07-11,PREF01N001,0.25,FnGuide 나스닥100채권혼합50 지수(총수익 지수),혼합자산,False,0.25,external_krx_20260806,FnGuide 나스닥100채권혼합50 지수(총수익 지수),external_krx_20260806
,,미래에셋,1.0,액티브,20260615.0,14305.0,14210.0,-0.66,0.85,13.86,2.38,4.45,6.32,14225.0,580885585200.0,14279.39,14120.0,-14279.39,14279.39,2026-06-15 00:00:00,6727614051.0,6908888966.2,8272120334.0,474644.0,485602.3,579586.4,,,TIGER 미국달러단기채권액티브,581927400000.0,40680000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7329750004,A329750,41030000.0,99991231.0,20190724.0,STK,유가증권,14279.39,585883213936.0,미래에셋 TIGER 미국달러단기채권액티브증권상장지수투자신탁(채권-파생형),안전자산,Y,PD_RISK_GCD_14,보통위험(4등급),1,2.0,,N,41030000.0,0.0,,,N,채권,미국,20260615.0,4.0,True,ETF,False,US,mapped,BOND,mapped,2026-07-11,PREF01N001,0.3,KIS U.S. TREASURY BOND 0-1Y 지수(총수익),채권,False,0.3,external_krx_20260806,KIS U.S. TREASURY BOND 0-1Y 지수(총수익),external_krx_20260806
,,키움,1.0,액티브,20260615.0,99925.0,100335.0,0.41,0.08,-7.87,-2.19,-6.49,-3.55,100440.0,370063630420.0,100071.29,100330.0,-100071.29,100071.29,2026-06-15 00:00:00,15060245.0,225045083.2,18437810.0,150.0,2242.05,185.0,,,KIWOOM 종합채권(AA-이상)액티브,369522650000.0,3698000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7454780008,A454780,3632000.0,99991231.0,20230411.0,STK,유가증권,100071.29,365960723391.0,키움 KIWOOM 종합채권(AA-이상)액티브증권상장지수투자신탁[채권],안전자산,Y,PD_RISK_GCD_15,낮은위험(5등급),1,2.0,,N,3657000.0,0.0,,,N,채권,국내,20260615.0,5.0,True,ETF,False,KR,mapped,BOND,mapped,2026-07-11,PREF01N001,0.025,KIS 종합 채권시장지수(AA-이상)(총수익지수),채권,False,0.025,external_krx_20260806,KIS 종합 채권시장지수(AA-이상)(총수익지수),external_krx_20260806
,,하나증권주식회사,2.0,C,20260615.0,10280.0,10105.0,-1.7,-4.17,,-34.45,-45.38,-46.39,10105.0,0.0,10070.41,10000.0,-226.59,10297.0,2026-06-15 00:00:00,30989515.0,72392502.9,49074936.0,3084.0,6587.95,4650.4,,,하나 레버리지 천연가스 선물 ETN(H),0.0,0.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETN,KRG700000315,Q700031,1000000.0,99991231.0,20250916.0,STK,유가증권,10070.41,10297000000.0,하나증권 하나 레버리지 천연가스 선물 상장지수증권(H) 제31호,N,N,PD_RISK_GCD_11,매우높은위험(1등급),1,3.0,,N,1000000.0,0.0,,,N,원자재,국내,20260615.0,1.0,True,ETN,False,KR,mapped,COMMODITY,mapped,2026-07-11,PREF01N001,,,,False,,,,
,,신한투자증권 주식회사,1.0,C,20260511.0,0.0,0.0,,,-100.0,-100.0,-100.0,-100.0,0.0,0.0,10671.65,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,신한 26-05 은행채(AAA) ETN,0.0,0.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETN,KRG500000879,Q500087,2000000.0,20260512.0,20240605.0,STK,유가증권,10671.65,21343300000.0,신한투자증권 신한 26-05 은행채(AAA) 상장지수증권 제87호,N,N,PD_RISK_GCD_11,매우높은위험(1등급),0,3.0,,N,2000000.0,0.0,,,N,채권,국내,20260615.0,1.0,True,ETN,False,KR,mapped,BOND,mapped,2026-07-11,PREF01N001,,,,False,,,,
,0.0,KB,1.0,실물복제,20260615.0,29030.0,31445.0,8.32,7.58,132.93,41.74,67.22,74.4,31445.0,11720780000.0,29301.95,30530.0,-29301.95,29301.95,2026-06-15 00:00:00,66529780.0,156408068.55,50929634.0,2127.0,5061.8,1729.2,,,RISE 수출주,11612000000.0,400000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7140570003,A140570,400000.0,99991231.0,20110415.0,STK,유가증권,29301.95,11720781293.0,KB RISE 수출주증권상장지수투자신탁(주식),위험자산,Y,PD_RISK_GCD_12,높은위험(2등급),1,2.0,,N,400000.0,0.0,,,N,주식,국내,20260615.0,2.0,True,ETF,True,KR,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.4,MKF 수출주 지수,주식,True,0.0,provided,MKF 수출주 지수,external_krx_20260806
,,미래에셋,1.0,실물복제,20260615.0,13485.0,13840.0,2.63,-5.34,,-14.73,-0.07,-0.07,13925.0,1327406925000.0,13614.43,13675.0,-13614.43,13614.43,2026-06-15 00:00:00,11848776147.0,18383205027.6,14705072214.8,858315.0,1300428.2,1086453.4,,,TIGER KRX금현물,1314787500000.0,97500000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR70072R0006,A0072R0,97500000.0,99991231.0,20250624.0,STK,유가증권,13614.43,1327406933044.0,미래에셋 TIGER KRX금현물특별자산상장지수투자신탁(금),위험자산,Y,PD_RISK_GCD_12,높은위험(2등급),1,2.0,,N,97500000.0,0.0,,,N,원자재,국내,20260615.0,2.0,True,ETF,False,KR,mapped,COMMODITY,mapped,2026-07-11,PREF01N001,0.15,KRX 금현물지수,원자재,False,0.15,external_krx_20260806,KRX 금현물지수,external_krx_20260806
,,키움증권(주),1.0,C,20260615.0,13175.0,13575.0,3.04,-2.23,49.59,-6.8,18.35,21.21,13725.0,0.0,13380.73,13575.0,35.12,13345.61,2026-06-15 00:00:00,68195.0,335813969.25,43922658.0,5.0,24571.8,3608.0,,,키움 코스닥 150 TR ETN,0.0,0.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETN,KRG760000080,Q760008,2000000.0,99991231.0,20231227.0,STK,유가증권,13380.73,26691220000.0,키움증권 키움 코스닥 150 TR 상장지수증권 제8호,N,N,PD_RISK_GCD_11,매우높은위험(1등급),1,3.0,,N,2000000.0,0.0,,,N,주식,국내,20260615.0,1.0,True,ETN,False,KR,mapped,EQUITY,mapped,2026-07-11,PREF01N001,,,,False,,,,
,,삼성,2.0,실물복제,20260615.0,129880.0,144045.0,10.91,27.04,811.68,139.52,337.89,301.63,145520.0,,132559.7,134350.0,-132559.7,132559.7,2026-06-15 00:00:00,683043697.0,817447495.2,633172770.0,4802.0,6463.65,4874.2,,,KODEX KRX300레버리지,0.0,900000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7306950007,A306950,900000.0,99991231.0,20181016.0,STK,유가증권,132559.7,119303728411.0,삼성 KODEX KRX300레버리지증권상장지수투자신탁[주식-파생형],N,N,PD_RISK_GCD_11,매우높은위험(1등급),1,2.0,,N,900000.0,0.0,,,N,주식,국내,20260615.0,1.0,True,ETF,False,KR,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.64,KRX 300,주식,False,0.64,external_krx_20260806,KRX 300,external_krx_20260806
,,메리츠증권 주식회사,1.0,C,20260615.0,11220.0,11205.0,-0.13,2.61,-1.28,12.39,-10.25,-11.91,11205.0,0.0,11226.7,11205.0,80.91,11145.79,2026-06-15 00:00:00,11205.0,76558.0,13430.0,1.0,6.7,1.2,,,메리츠 S&P 유럽탄소배출권 선물 ETN(H),0.0,0.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETN,KRG610000306,Q610030,1000000.0,99991231.0,20211108.0,STK,유가증권,11226.7,11145790000.0,메리츠증권 메리츠 S&P 유럽탄소배출권 선물 상장지수증권(H) 제30호,N,N,PD_RISK_GCD_11,매우높은위험(1등급),1,3.0,,N,1000000.0,0.0,,,N,단기자금,미국,20260615.0,1.0,True,ETN,False,US,mapped,MONEY_MARKET,mapped,2026-07-11,PREF01N001,,,,False,,,,
,,삼성증권(주),-2.0,C,20260615.0,47345.0,42235.0,-10.79,21.23,,16.74,,,42295.0,0.0,42199.36,41380.0,-9539.67,51739.03,2026-06-15 00:00:00,811734105.0,3407650059.65,1273010947.6,19355.0,93359.4,25649.6,,,삼성 인버스 2X 은 선물 ETN,0.0,0.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETN,KRG530001434,Q530143,1000000.0,99991231.0,20260306.0,STK,유가증권,42199.36,51739030000.0,삼성증권 삼성 인버스 2X 은 선물 상장지수증권 제143호,N,N,PD_RISK_GCD_11,매우높은위험(1등급),1,3.0,,N,1000000.0,0.0,,,N,원자재,국내,20260615.0,1.0,True,ETN,False,KR,mapped,COMMODITY,mapped,2026-07-11,PREF01N001,,,,False,,,,
,0.0,미래에셋TIGERS&P500레버리지증권상장지수투자신탁(주식혼합-파생형)(합성,2.0,합성복제,20260615.0,63425.0,65690.0,3.57,1.61,48.96,24.84,16.01,15.32,65720.0,55834548000.0,63448.35,65025.0,-63448.35,63448.35,2026-06-15 00:00:00,715850707.0,899791731.95,1043968628.2,10938.0,13930.35,16521.6,,,TIGER 미국S&P500레버리지(합성 H),55814000000.0,880000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7225040005,A225040,880000.0,99991231.0,20150729.0,STK,유가증권,63448.35,55834545500.0,미래에셋TIGERS&P500레버리지증권상장지수투자신탁(주식혼합-파생형)(합성 H),N,N,PD_RISK_GCD_11,매우높은위험(1등급),1,2.0,,N,880000.0,0.0,,,N,주식,국내,20260615.0,1.0,True,ETF,True,KR,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.27,S&P 500,주식,True,0.0,provided,S&P 500,external_krx_20260806
,0.0,키움,1.0,실물복제,20260615.0,16010.0,16700.0,4.31,2.93,72.16,19.24,40.75,42.07,16865.0,17645672000.0,16041.52,16490.0,-16041.52,16041.52,2026-06-15 00:00:00,14120550.0,39026670.15,5478281.0,845.0,2286.35,338.0,,,KIWOOM 블루칩,17611000000.0,1100000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7104520002,A104520,1100000.0,99991231.0,20080729.0,STK,유가증권,16041.52,17645670003.0,키움 KIWOOM 블루칩 상장지수증권투자신탁[주식],위험자산,Y,PD_RISK_GCD_12,높은위험(2등급),1,2.0,,N,1100000.0,0.0,,,N,주식,국내,20260615.0,2.0,True,ETF,True,KR,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.4,MKF 블루칩,주식,True,0.0,provided,MKF 블루칩,external_krx_20260806
,,신한,1.0,실물복제,20260615.0,33645.0,35570.0,5.72,-2.89,51.56,-9.54,42.08,38.49,36045.0,104925018000.0,33846.78,33755.0,-33846.78,33846.78,2026-06-15 00:00:00,3214292280.0,5157242105.8,2378527427.4,91597.0,144817.95,72035.4,,,SOL K방산,0.0,3100000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7490480001,A490480,3100000.0,99991231.0,20241002.0,STK,유가증권,33846.78,104925023489.0,신한 SOL K방산증권상장지수투자신탁[주식],위험자산,Y,PD_RISK_GCD_12,높은위험(2등급),1,2.0,,N,3100000.0,0.0,,,N,주식,국내,20260615.0,2.0,True,ETF,False,KR,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.45,KEDI K방산 지수(PR),주식,False,0.45,external_krx_20260806,KEDI K방산 지수(PR),external_krx_20260806
,,한국투자,1.0,합성복제,20260615.0,19785.0,20235.0,2.27,0.25,0.12,11.27,-2.25,-1.8,20440.0,15994288000.0,19992.86,19835.0,-19992.86,19992.86,2026-06-15 00:00:00,221677075.0,27423030.9,52243340.0,11002.0,1339.4,2593.8,,,ACE 미국IT인터넷(합성 H),0.0,800000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7280320003,A280320,800000.0,99991231.0,20171017.0,STK,유가증권,19992.86,15994291328.0,한국투자 ACE 미국IT인터넷증권상장지수투자신탁(주식-파생형)(합성 H),위험자산,Y,PD_RISK_GCD_12,높은위험(2등급),1,2.0,,N,800000.0,0.0,,,N,주식,미국,20260615.0,2.0,True,ETF,False,US,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.5,다우존스 인터넷 종합지수,주식,False,0.5,external_krx_20260806,다우존스 인터넷 종합지수,external_krx_20260806
,,삼성,1.0,실물복제,20260615.0,42070.0,44150.0,4.94,13.21,199.22,56.06,110.34,104.07,44615.0,101064624000.0,42110.26,43800.0,-42110.26,42110.26,2026-06-15 00:00:00,626479508.0,3936799609.7,1399573745.2,14158.0,93398.6,33629.2,,,KODEX 코스피TR,0.0,2400000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7359210002,A359210,2400000.0,99991231.0,20200721.0,STK,유가증권,42110.26,101064616281.0,삼성 KODEX 코스피TotalReturn증권상장지수투자신탁[주식],위험자산,Y,PD_RISK_GCD_12,높은위험(2등급),1,2.0,,N,2400000.0,0.0,,,Y,주식,국내,20260615.0,2.0,True,ETF,False,KR,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.07,코스피 TR,주식,False,0.07,external_krx_20260806,코스피 TR,external_krx_20260806
,0.0,미래에셋,1.0,실물복제,20260615.0,42205.0,44900.0,6.39,25.17,264.74,82.78,143.23,139.02,45305.0,184906612000.0,42024.23,44120.0,-42024.23,42024.23,2026-06-15 00:00:00,6515932513.0,9944501351.3,6695981692.6,145054.0,245724.15,160015.6,,,TIGER 삼성그룹,185702000000.0,4400000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7138520002,A138520,4280000.0,99991231.0,20110307.0,STK,유가증권,42024.23,179863712015.0,미래에셋 TIGER 삼성그룹 증권상장지수투자신탁(주식),위험자산,Y,PD_RISK_GCD_12,높은위험(2등급),1,2.0,,N,4280000.0,0.0,,,N,주식,아시아,20260615.0,2.0,True,ETF,True,ASIA_OTHER,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.113,MKF SAMs FW,주식,True,0.0,provided,MKF SAMs FW,external_krx_20260806
,,KB,1.0,실물복제,20260615.0,33020.0,33740.0,2.18,4.23,54.77,24.71,22.89,24.48,33750.0,1587121920000.0,33065.04,33420.0,-33065.04,33065.04,2026-06-15 00:00:00,7409231071.0,13127607728.65,12473772407.6,220444.0,396517.1,379355.6,,,RISE 미국나스닥100,1584960000000.0,48000000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7368590006,A368590,48200000.0,99991231.0,20201106.0,STK,유가증권,33065.04,1593735063258.0,KB RISE 미국나스닥100증권상장지수투자신탁(주식),위험자산,Y,PD_RISK_GCD_12,높은위험(2등급),1,2.0,,N,48200000.0,0.0,,,Y,주식,미국,20260615.0,2.0,True,ETF,False,US,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.006,NASDAQ 100,주식,False,0.006,external_krx_20260806,NASDAQ 100,external_krx_20260806
